date,date_ymd,url,brand,category,price,size,delivery_time,color
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/gant-trui-beige-zir01fwwm-001.html,GANT,Trui,38.6,L,3-6,beige
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/nike-performance-sweater-green-zir00tfxk-001.html,Nike Performance,Sweater,28.2,S,3-6,green
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/adidas-originals-sweater-grey-zir01t05t-001.html,adidas Originals,Sweater,22.7,56,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/ea7-emporio-armani-trui-white-zir01tbrd-001.html,EA7 Emporio Armani,Trui,36.2,L,3-6,white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/icepeak-sweater-black-zir01t324-001.html,Icepeak,Sweater,37.1,M,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/hollister-co-hoodie-blue-zir01gm45-001.html,Hollister Co.,Hoodie,20.9,S,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/us-polo-assn-trui-blue-zir01to17-001.html,U.S. Polo Assn.,Trui,67.1,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/selected-homme-trui-blue-zir01i3ce-001.html,Selected Homme,Trui,19.9,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/next-trui-blue-zir015c87-001.html,Next,Trui,18.9,XL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/new-zealand-auckland-trui-blue-zir01i3sg-001.html,New Zealand Auckland,Trui,20.9,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/selected-homme-trui-blue-zir01tbon-001.html,Selected Homme,Trui,20.7,S,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-trui-black-zir01i2na-001.html,Jack & Jones,Trui,20.9,XL,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/chasin-sweater-blue-zir01sz9d-001.html,CHASIN',Sweater,20.9,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/brax-sweater-blue-zir01eimo-001.html,BRAX,Sweater,30.9,52,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/key-largo-trui-green-zir01hydx-001.html,Key Largo,Trui,18.9,M,3-6,green
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/marks-and-spencer-trui-beige-zir01i1c1-001.html,Marks & Spencer,Trui,18.9,M,3-6,beige
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/soliver-selection-trui-blue-zir01tnat-001.html,s.Oliver Selection,Trui,15.9,XL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/armani-exchange-trui-blue-zir01tc25-001.html,Armani Exchange,Trui,37.4,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/ragwear-sweater-blue-zir01tbxu-001.html,Ragwear,Hoodie,28.6,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/guess-sweater-blue-zir01fzsl-001.html,Guess,Sweater,20.9,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/campus-trui-grey-zir01enyr-001.html,Campus,Trui,57.9,XS,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/pierre-cardin-trui-multi-colored-zir01tcr7-001.html,Pierre Cardin,Trui,34.9,XXL/3XL,3-6,multi-colored
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/next-trui-black-zir011o9q-001.html,Next,Trui,19.9,XL,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/gardeur-trui-multi-colored-zir01cgh6-001.html,Gardeur,Trui,20.9,3XL,3-6,multi-colored
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/cos-trui-blue-zir01t04j-001.html,COS,Trui,26.7,XL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/paul-smith-trui-blue-zir015q9p-001.html,Paul Smith,Trui,41.9,XXL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/tommy-hilfiger-trui-grey-zir0170w6-001.html,Tommy Hilfiger,Trui,26.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/marks-and-spencer-london-trui-black-zir01imb1-001.html,Marks & Spencer,Trui,19.9,M,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-trui-grey-zir01i1mi-001.html,Jack & Jones,Trui,19.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/soliver-trui-grey-zir01boo5-001.html,s.Oliver,Trui,18.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/soliver-trui-green-zir01cgrv-001.html,s.Oliver,Trui,18.9,L,3-6,green
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-trui-grey-zir01in9b-001.html,Jack & Jones,Trui,19.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-sweater-green-zir01tbwz-001.html,Jack & Jones,Sweater,17.2,S,3-6,green
