date,date_ymd,url,brand,category,price,delivery_time,color
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jordan-longsleeve-black-joc22o057-q11.html,Jordan,Longsleeve,54.95,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/tommy-hilfiger-1985-solid-overhemd-desert-sky-to122d0tq-k12.html,Tommy Hilfiger,Overhemd,89.9,3-6,desert sky
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/tommy-hilfiger-1985-solid-overhemd-white-to122d0tq-a11.html,Tommy Hilfiger,Overhemd,89.9,3-6,white
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/joop-zakelijk-overhemd-white-jo922d0ef-a11.html,JOOP!,Zakelijk overhemd,109,3-6,white
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/joop-zakelijk-overhemd-turquioseaqua-jo922d0ef-k11.html,JOOP!,Zakelijk overhemd,109,3-6,turquioseaqua
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/project-x-paris-t-shirt-print-bleu-prk22o038-k11.html,Project X Paris,T-shirt print,59.99,3-6,bleu
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hurley-poloshirt-aura-green-hu822p002-m11.html,Hurley,Poloshirt,50,1-2,aura green
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/nautica-competition-bramma-sweater-marine-green-nau22s00p-m11.html,NAUTICA COMPETITION,Sweater,74.95,1-2,marine green
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hurley-poloshirt-night-shadow-hu822p002-k11.html,Hurley,Poloshirt,50,1-2,night shadow
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hurley-poloshirt-black-hu822p002-q11.html,Hurley,Poloshirt,50,1-2,black
