url;brand;category;price;delivery time
https://www.zalando.nl/adidas-originals-sweater-blue-zir01l0ul-001.html;adidas Originals;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/adidas-originals-sweater-white-zir01ky5j-001.html;adidas Originals;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 19,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/nike-sportswear-sweater-black-zir01l1dd-001.html;Nike Sportswear;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/tom-tailor-denim-trui-blue-zir01mgz1-001.html;TOM TAILOR DENIM;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 20,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/tom-tailor-trui-brown-zir01riyi-001.html;TOM TAILOR;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 14,60</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/superdry-trui-blue-zir01l06z-001.html;Superdry;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 16,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/won-hundred-trui-grey-zir01kndd-001.html;Won Hundred;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 27,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/selected-homme-trui-grey-zir01kp2x-001.html;Selected Homme;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/burlington-trui-white-zir01mi66-001.html;Burlington;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/gap-trui-brown-zir01kyn6-001.html;GAP;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 20,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/next-trui-red-zir01knnj-001.html;Next;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 18,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/jack-and-jones-trui-blue-zir01knpp-001.html;Jack & Jones;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/jack-and-jones-trui-grey-zir01lc2t-001.html;Jack & Jones;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/selected-homme-vest-blue-zir01koak-001.html;Selected Homme;Vest;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/marks-and-spencer-trui-red-zir01mhdk-001.html;Marks & Spencer;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 15,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/marks-and-spencer-trui-blue-zir01rkbw-001.html;Marks & Spencer;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 13,50</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/abercrombie-and-fitch-sweater-blue-zir01l1zb-001.html;Abercrombie & Fitch;Hoodie;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 20,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/levis-sweater-white-zir01l2f7-001.html;Levi's®;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 19,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/hummel-hoodie-purple-zir00pcyn-001.html;Hummel;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 14,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/john-richmond-sweater-black-zir01knrm-001.html;John Richmond;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 36,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/gant-sweater-grey-zir01kx97-001.html;GANT;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 24,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/vintage-55-sweater-grey-zir01ko84-001.html;Vintage 55;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 16,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/jack-and-jones-sweater-black-zir01mgzf-001.html;Jack & Jones;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 16,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/soliver-black-label-sweater-blue-zir01kie4-001.html;s.Oliver BLACK LABEL;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 19,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/carhartt-wip-sweater-black-zir01knrf-001.html;Carhartt WIP;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 25,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/anerkjendt-sweater-beige-zir01knnt-001.html;Anerkjendt;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/dkny-trui-brown-zir01kn73-001.html;DKNY;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 26,90</span>";1-4 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/benetton-sweater-grey-zir01mijp-001.html;Benetton;Sweater;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
https://www.zalando.nl/burton-trui-purple-zir01ko6p-001.html;Burton;Trui;"<span class=""uqkIZw ka2E9k uMhVZi FxZV-M RYghuO pVrzNP"">€ 17,90</span>";3-6 werkdagen;2022-03-14 14:01:27.868828
